country_code,name,ip_address,reliability,dnssec,is_working
AD,ns1.xena.ad.,194.158.78.137,1.0,False,True
AF,,180.94.94.195,1.0,False,True
AM,host-71.1.16.81.ucom.am.,81.16.1.71,1.0,False,True
AR,host187.advance.com.ar.,200.16.208.187,1.0,False,True
AU,,1.0.0.2,1.0,True,True
AU,,1.0.0.3,1.0,True,True
AU,,1.1.1.3,1.0,True,True
AW,201-229-68-14.setardsl.aw.,201.229.68.14,1.0,False,True
BE,cache0100.ns.eu.uu.net.,194.7.1.4,1.0,True,True
BF,caching.onatel.bf.,206.82.130.195,1.0,False,True
BF,,41.216.159.6,1.0,False,True
BF,,41.138.101.251,1.0,False,True
BG,ns2.novatel.bg.,95.158.129.2,1.0,False,True
BN,smp-80-38.simpur.net.bn.,202.152.80.38,1.0,False,True
BR,177-184-176-5.netcartelecom.com.br.,177.184.176.5,1.0,False,True
BS,,206.138.18.20,1.0,False,True
BS,208-87-35-199.securehost.com.,208.87.35.199,1.0,False,True
BS,,64.150.230.90,1.0,False,True
BW,,154.70.151.73,1.0,False,True
CA,dns1.van.radiant.net.,216.21.128.22,1.0,True,True
CA,ns2.execulink.com.,209.239.11.98,1.0,False,True
CG,66-248-214-197.r.airtel.cg.,197.214.248.66,1.0,False,True
CH,oltdzpsp-cns005.bluewin.ch.,195.186.1.107,1.0,True,True
CH,zhhdzpsp-cns002.bluewin.ch.,195.186.4.109,1.0,True,True
CH,mirror.tillo.ch.,31.3.135.232,1.0,False,True
CM,ns2.iccnet.cm.,41.211.108.4,1.0,False,True
CM,host-40-116-211.iccnet.cm.,41.211.116.40,1.0,True,True
CV,,41.221.192.167,1.0,False,True
CV,,41.221.203.153,1.0,False,True
CY,dns.adguard.com.,94.140.14.14,1.0,True,True
CZ,ns.cesnet.cz.,195.113.144.194,1.0,True,True
CZ,homer.thcnet.cz.,213.211.50.2,1.0,True,True
DE,opennic1.eth-services.de.,94.247.43.254,1.0,True,True
DE,,195.10.195.195,1.0,True,True
EC,,45.236.169.151,1.0,False,True
EC,,201.234.210.179,1.0,False,True
EG,mans.edu.eg.,193.227.50.3,1.0,False,True
ET,mail.moe.gov.et.,213.55.96.166,1.0,False,True
FI,resolver1.dns.trex.fi.,195.140.195.21,1.0,True,True
GB,cache0000.ns.eu.uu.net.,158.43.128.72,1.0,True,True
GB,cache0005a.ns.eu.uu.net.,158.43.240.3,1.0,True,True
GB,server88-208-244-225.live-servers.net.,88.208.244.225,1.0,False,True
GE,host-212-72-130-20.customer.magticom.ge.,212.72.130.20,1.0,False,True
